,Sample_00,Sample_01,Sample_02,Sample_03,Sample_04,Sample_05,Sample_06,Sample_07,Sample_08,Sample_09,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19
Gene_0000,8.993428306022466,7.72347139765763,9.295377076201385,11.046059712816051,7.531693250553328,7.531726086101639,11.158425631014783,9.534869458305817,7.061051228130096,9.08512008717193,9.247307738208484,9.21020228912732,10.015664620229323,6.4632316215662735,5.8051229971856255,8.54833277863789,6.974793852882248,11.407807923671955,8.068177101984931,8.258834614737573
Gene_0001,10.931297537843108,7.548447399026928,8.135056409375848,5.150503627573086,6.911234550949635,8.221845179419732,5.698012845155395,8.751396036691343,6.7987226201623905,7.416612500413446,9.198061738800954,13.928605475693388,9.679891703383632,7.3614031242444895,11.906575611154851,7.522555695421465,9.748092032266861,5.322230543986289,6.864276037631347,11.304206084371362
Gene_0002,9.476933159990821,8.34273656237994,7.768703435223519,7.3977926088214225,5.042956019265145,6.5603115832105825,7.078722458080425,10.11424445243783,8.687236579136922,4.473919689274532,11.754806897795243,9.33233001282182,8.720627397508727,11.055192391766974,11.594756370837151,12.55014976703602,9.258353150503291,8.934865705377927,10.621107673594828,11.726157103889634
Gene_0003,7.04165152430942,7.628682046672366,5.787330051987944,5.607586751838658,9.625051644788396,10.712480057141645,7.855979756839332,10.007065795784047,8.723272050095268,6.709760490789751,10.51267167358434,13.66902726064687,9.272367149097036,13.362522157096166,5.124628845473444,11.57272942194954,10.620628049969728,9.47581121933699,10.79208651364906,5.263759518335288
Gene_0004,7.560656224324976,8.714225143023492,10.955788089483033,6.963459563452705,6.3830127942136246,6.996485912830927,9.830804235404148,8.657502219319369,6.940479592465922,9.026534866226712,10.019767468192647,11.90138340964026,7.259790120009621,8.801699340015196,8.808984066556292,7.547073101147438,10.238818880971852,10.11307105070679,10.418969803613018,8.72187041035468
Gene_0005,5.1692585158991715,7.158709354469282,7.314570966946461,6.395445461556762,7.677428576667982,8.808101713629076,11.77237180242106,8.349155625663679,8.515100781445529,7.851108168467666,5.126835535680131,9.766176099066893,9.396607035842875,14.221644577640747,9.901994966281746,11.041081603623514,10.325008568515576,8.217032254914551,12.906212789037442,10.439570960960083
Gene_0006,9.582063894086094,6.181225090410522,10.805588621872198,5.196297874415438,9.17371418760054,12.380911251619956,6.0189273497386235,6.867404540794456,8.199302730175283,6.993048691767601,7.123879117832468,9.872321849827275,7.501680449552572,11.227392177374716,7.296003791584518,12.22431450709892,8.750279787368385,9.599769976344097,11.695400762675096,7.0983146647705215
Gene_0007,8.45491986920826,10.614285508564857,4.785033530877545,8.36926771706461,8.519765588496847,9.56364574355462,5.526098578243836,5.359086773831447,9.043883131233795,8.593969346466372,10.872900517982815,11.03304786502419,8.682602814366746,9.875846873687122,10.37352077373261,8.990214002709486,14.395144633690407,10.78439754013541,7.492556521690572,11.23226266325513
Gene_0008,6.050636659545357,9.574169207484903,10.317191158014808,6.358635363296579,9.926752258488644,8.825561853872996,9.64412031998898,11.793585965307894,7.509223767994259,6.492527671285021,8.35841764520444,8.077845780039112,8.398704052386,11.278688450456837,11.450726072241313,11.34816656826919,9.492677099296426,12.838517893119523,9.376934391659702,15.938097621760718
Gene_0009,9.251334695530012,6.2856848871674345,5.858215003877776,8.96494483048637,7.553074429348298,9.428000988184184,8.94647524914709,7.854342174686255,6.30641256386319,4.970305550628271,9.134289816688476,11.316486173461353,9.768982762981382,7.941339534985861,10.646117472284487,11.300914698503583,7.7481917522371875,11.22666866165522,9.244570183363383,8.068859915039493
Gene_0010,8.715574720696566,9.121569052736469,10.166102486350553,10.107604104069805,5.244661264085818,6.124349920169754,9.03007053441732,9.027571901824418,9.030095372612095,15.705462981309442,10.186989637787883,11.875965589511964,12.688514992210385,11.71846462984959,9.096351302975718,11.258519919575692,8.504660626342577,9.783433281900344,9.655062595683141,9.9356312764684
Gene_0011,12.629317133347017,4.265469614816504,9.372520380749027,4.774568257620697,7.056136268421133,10.177901193934732,8.128560038190926,5.844510444141388,6.569392581480064,9.35919549786935,7.733374204822127,10.511401492688329,9.86242826105343,8.046482452414143,14.436722636307048,11.161281167589628,6.1029709299196835,9.925686529445265,8.919782335625973,11.04631757121496
Gene_0012,6.414958523134599,7.770527117066202,9.009974557960915,9.731510388340244,5.599407185888447,7.330997528318103,7.050109377678088,6.693341534852577,11.530908480562193,8.80996342192191,7.064366396481618,11.714266778565914,15.115221601505123,12.45734320537654,7.499856320225868,9.740070370939069,14.33523836627868,8.605455602541655,11.597839317857385,12.055585734059644
Gene_0013,6.146139056843834,7.8809492878764,1.5174653198618548,5.951224717331421,7.494863697213679,5.504433636070301,11.26482260786327,5.139717244078735,7.119911026606032,8.261481154572182,13.380562829785994,8.015395506661212,12.116670988817681,9.771123610070985,8.196865454645028,10.832857062565598,10.557369817646027,9.580940638208917,9.900530808626899,9.077033324979615
Gene_0014,8.227034690502496,9.324261349042093,11.172033632290704,5.524369002346302,12.266066749312532,4.095824400954996,7.6964298099288335,9.176634412969154,8.561983735470065,6.754600960358813,9.670911001048738,8.899838917669749,7.864267572104833,11.40914037269258,11.057717593048848,9.332954184945015,11.221890467097637,10.034957842137796,11.640841139036588,10.221460151408305
Gene_0015,6.342009978155856,6.879637919606061,9.494587210246523,9.22074053086693,7.958196812071704,8.234654766617563,10.555329791576849,6.81685722232834,9.094194762340075,7.595614695132212,9.342152492051996,11.329532674198683,12.335363347897292,11.242353694826075,13.437374707478172,10.598768359994688,11.04074729374122,8.84348666839005,10.551559830393089,9.68739057913553
Gene_0016,8.193991929985437,9.190314050873827,6.363558633533055,12.184774551370921,5.987965237000596,5.571622774424536,10.316221747000135,9.583325387925871,9.24823963410431,9.25669101852856,10.148579926282371,7.817219612263248,10.524806553148554,8.778340604475726,11.78004188847757,9.349864909286712,8.256563114865633,8.94877769078023,10.855082255993043,8.915270237002005
